Feature,Spearman,Pearson,Score,Study
1stFlrSF,0.5754078354212823,0.6058521846919166,1.1812600201131989,False
2ndFlrSF,0.27984533115456683,0.3124787798853847,0.5923241110399515,False
BedroomAbvGr,0.22357639709339241,0.15578382655873965,0.37936022365213207,False
BsmtExposure,0.34420664884485735,0.3746962210008844,0.7189028698457418,False
BsmtFinSF1,0.3018712035800953,0.38641980624215627,0.6882910098222516,False
BsmtFinType1,0.30589921990145835,0.25332971025423373,0.5592289301556921,False
BsmtUnfSF,0.18519662942076204,0.214479105546969,0.399675734967731,False
GarageArea,0.6493785338868229,0.6234314389183598,1.2728099728051827,True
GarageFinish,0.4633871696124781,0.40409988859467566,0.8674870582071538,False
GarageYrBlt,0.5632564188677867,0.4667536523633402,1.0300100712311269,False
GrLivArea,0.7313095834659141,0.7086244776126511,1.4399340610785654,True
KitchenQual,0.6728485475386916,0.6595997207286572,1.3324482682673489,True
LotArea,0.4564605833912114,0.2638433538714063,0.7203039372626177,False
LotFrontage,0.3755897922087816,0.33477085313976035,0.7103606453485419,False
MasVnrArea,0.4159061267067718,0.47261449900457725,0.888520625711349,False
OpenPorchSF,0.47756066228252647,0.31585622711605577,0.7934168893985822,False
OverallCond,-0.1293249466006132,-0.0778558940486776,-0.2071808406492908,False
OverallQual,0.8098285862017292,0.7909816005838047,1.6008101867855338,True
TotalBsmtSF,0.6027254448924095,0.6135805515591944,1.216305996451604,True
YearBuilt,0.6526815462850586,0.5228973328794967,1.1755788791645552,False
YearRemodAdd,0.5711589780582342,0.5071009671113867,1.0782599451696209,False
